kkr,icd10_3d,cnt
03-NI,C86,33
03-NI,C88,81
03-NI,C90,143
03-NI,C91,39
03-NI,C92,21
03-NI,C93,2
03-NI,C95,1
03-NI,C96,22
03-NI,D00,91
03-NI,D01,275
03-NI,D02,106
03-NI,D03,1472
03-NI,D05,3163
03-NI,D06,2151
03-NI,D07,301
03-NI,D09,5897
03-NI,D32,371
03-NI,D33,123
03-NI,D35,283
03-NI,D37,5
03-NI,D38,1
03-NI,D39,357
03-NI,D40,3
03-NI,D41,37
03-NI,D42,70
03-NI,D43,59
03-NI,D44,14
03-NI,D47,1
03-NI,D48,2
04-HB,C00,9
04-HB,C01,28
04-HB,C02,38
04-HB,C03,26
04-HB,C04,30
04-HB,C05,8
04-HB,C06,12
04-HB,C07,21
04-HB,C08,5
04-HB,C09,57
04-HB,C10,28
04-HB,C11,1
04-HB,C12,3
04-HB,C13,16
04-HB,C14,5
04-HB,C15,105
04-HB,C16,224
04-HB,C17,59
04-HB,C18,1088
04-HB,C19,29
04-HB,C20,345
04-HB,C21,23
04-HB,C22,73
04-HB,C23,21
04-HB,C24,54
04-HB,C25,215
04-HB,C26,1
04-HB,C30,21
04-HB,C31,4
04-HB,C32,89
04-HB,C34,674
04-HB,C37,11
04-HB,C38,3
04-HB,C40,4
04-HB,C41,10
04-HB,C43,570
04-HB,C45,67
04-HB,C46,5
04-HB,C47,2
04-HB,C48,12
04-HB,C49,64
04-HB,C50,2598
04-HB,C51,85
04-HB,C52,6
04-HB,C53,114
04-HB,C54,372
04-HB,C55,1
04-HB,C56,201
04-HB,C57,29
04-HB,C60,40
04-HB,C61,1007
04-HB,C62,164
04-HB,C63,2
04-HB,C64,366
04-HB,C65,42
04-HB,C66,46
04-HB,C67,568
04-HB,C68,12
04-HB,C69,19
04-HB,C70,3
04-HB,C71,167
04-HB,C72,3
04-HB,C73,114
04-HB,C74,3
04-HB,C75,18
04-HB,C80,49
04-HB,C81,22
04-HB,C82,18
04-HB,C83,66
04-HB,C84,11
04-HB,C85,2
04-HB,C86,4
04-HB,C88,8
04-HB,C90,20
04-HB,C91,5
04-HB,C93,1
04-HB,D00,8
04-HB,D01,42
04-HB,D02,13
04-HB,D03,13
04-HB,D05,288
04-HB,D06,233
04-HB,D07,40
04-HB,D09,652
04-HB,D32,98
04-HB,D33,27
04-HB,D35,34
04-HB,D37,3
04-HB,D38,1
04-HB,D39,60
04-HB,D41,6
04-HB,D42,34
04-HB,D43,21
04-HB,D44,5
04-HB,D48,7
05-NW,C00,325
05-NW,C01,614
05-NW,C02,1239
05-NW,C03,584
05-NW,C04,663
05-NW,C05,340
05-NW,C06,432
05-NW,C07,593
05-NW,C08,151
05-NW,C09,1242
05-NW,C10,767
05-NW,C11,162
05-NW,C12,93
05-NW,C13,469
05-NW,C14,30
05-NW,C15,3355
05-NW,C16,6175
05-NW,C17,1551
05-NW,C18,26002
05-NW,C19,473
05-NW,C20,11213
05-NW,C21,847
05-NW,C22,2302
05-NW,C23,591
05-NW,C24,1702
05-NW,C25,6797
05-NW,C26,117
05-NW,C30,623
05-NW,C31,200
05-NW,C32,2493
05-NW,C33,8
05-NW,C34,20722
05-NW,C37,285
05-NW,C38,99
05-NW,C40,288
05-NW,C41,186
05-NW,C43,16960
05-NW,C45,768
05-NW,C46,67
05-NW,C47,81
05-NW,C48,377
05-NW,C49,2031
05-NW,C50,57565
05-NW,C51,2586
05-NW,C52,183
05-NW,C53,2709
05-NW,C54,7363
05-NW,C55,82
05-NW,C56,4845
05-NW,C57,408
05-NW,C58,13
05-NW,C60,672
05-NW,C61,34983
05-NW,C62,3085
05-NW,C63,61
05-NW,C64,9609
05-NW,C65,863
05-NW,C66,535
05-NW,C67,15390
