kkr,icd10_3d,cnt
14-SN,C73,1183
14-SN,C74,56
14-SN,C75,21
14-SN,C76,69
14-SN,C80,525
14-SN,C81,90
14-SN,C82,128
14-SN,C83,446
14-SN,C84,46
14-SN,C85,37
14-SN,C86,31
14-SN,C88,72
14-SN,C90,195
14-SN,C91,70
14-SN,C92,101
14-SN,C93,11
14-SN,C94,1
14-SN,C95,3
14-SN,C96,5
14-SN,D00,121
14-SN,D01,1405
14-SN,D02,86
14-SN,D03,3403
14-SN,D05,1585
14-SN,D06,5514
14-SN,D07,351
14-SN,D09,4515
14-SN,D32,1301
14-SN,D33,286
14-SN,D35,376
14-SN,D39,405
14-SN,D41,82
14-SN,D42,137
14-SN,D43,153
14-SN,D44,31
14-SN,D45,1
14-SN,D46,31
14-SN,D47,6
15-ST,C00,54
15-ST,C01,83
15-ST,C02,229
15-ST,C03,112
15-ST,C04,166
15-ST,C05,62
15-ST,C06,71
15-ST,C07,70
15-ST,C08,28
15-ST,C09,198
15-ST,C10,136
15-ST,C11,11
15-ST,C12,19
15-ST,C13,97
15-ST,C14,5
15-ST,C15,328
15-ST,C16,1113
15-ST,C17,276
15-ST,C18,4941
15-ST,C20,2358
15-ST,C21,99
15-ST,C22,336
15-ST,C23,158
15-ST,C24,234
15-ST,C25,939
15-ST,C26,2
15-ST,C30,62
15-ST,C31,17
15-ST,C32,372
15-ST,C33,2
15-ST,C34,2126
15-ST,C37,32
15-ST,C38,13
15-ST,C40,18
15-ST,C41,23
15-ST,C43,2799
15-ST,C45,37
15-ST,C46,6
15-ST,C47,6
15-ST,C48,51
15-ST,C49,246
15-ST,C50,8060
15-ST,C51,302
15-ST,C52,27
15-ST,C53,492
15-ST,C54,1291
15-ST,C55,28
15-ST,C56,581
15-ST,C57,42
15-ST,C58,1
15-ST,C60,116
15-ST,C61,4195
15-ST,C62,386
15-ST,C63,11
15-ST,C64,1931
15-ST,C65,153
15-ST,C66,106
15-ST,C67,2309
15-ST,C68,40
15-ST,C69,124
15-ST,C70,11
15-ST,C71,737
15-ST,C72,23
15-ST,C73,538
15-ST,C74,21
15-ST,C75,12
15-ST,C76,16
15-ST,C80,226
15-ST,C81,20
15-ST,C82,50
15-ST,C83,141
15-ST,C84,15
15-ST,C85,21
15-ST,C86,5
15-ST,C88,8
15-ST,C90,71
15-ST,C91,14
15-ST,C92,20
15-ST,C94,1
15-ST,C96,2
15-ST,D00,27
15-ST,D01,367
15-ST,D02,43
15-ST,D03,550
15-ST,D05,996
15-ST,D06,1876
15-ST,D07,156
15-ST,D09,2373
15-ST,D32,510
15-ST,D33,152
15-ST,D35,152
15-ST,D39,230
15-ST,D41,33
15-ST,D42,47
15-ST,D43,51
15-ST,D44,14
15-ST,D46,2
16-TH,C00,76
16-TH,C01,79
16-TH,C02,216
16-TH,C03,133
16-TH,C04,150
16-TH,C05,62
16-TH,C06,42
16-TH,C07,86
16-TH,C08,38
16-TH,C09,209
16-TH,C10,99
16-TH,C11,12
16-TH,C12,28
16-TH,C13,68
16-TH,C14,4
16-TH,C15,256
16-TH,C16,981
16-TH,C17,269
16-TH,C18,3958
16-TH,C19,15
16-TH,C20,1820
16-TH,C21,73
16-TH,C22,350
16-TH,C23,134
16-TH,C24,251
16-TH,C25,937
16-TH,C26,2
16-TH,C30,74
16-TH,C31,26
16-TH,C32,256
16-TH,C33,2
16-TH,C34,2024
16-TH,C37,48
16-TH,C38,9
16-TH,C40,28
16-TH,C41,23
16-TH,C43,2541
16-TH,C45,31
16-TH,C46,4
16-TH,C47,5
16-TH,C48,78
16-TH,C49,260
16-TH,C50,6869
16-TH,C51,261
16-TH,C52,30
16-TH,C53,365
16-TH,C54,1078
16-TH,C55,18
16-TH,C56,498
16-TH,C57,63
16-TH,C60,112
16-TH,C61,5290
16-TH,C62,425
16-TH,C63,17
16-TH,C64,1941
16-TH,C65,158
16-TH,C66,122
16-TH,C67,2031
16-TH,C68,33
16-TH,C69,76
16-TH,C70,7
16-TH,C71,573
16-TH,C72,24
16-TH,C73,465
16-TH,C74,19
16-TH,C75,10
16-TH,C76,4
16-TH,C80,339
16-TH,C81,53
16-TH,C82,109
16-TH,C83,254
16-TH,C84,30
16-TH,C85,28
16-TH,C86,22
16-TH,C88,32
16-TH,C90,223
16-TH,C91,35
16-TH,C92,97
16-TH,C93,11
16-TH,C94,1
16-TH,C95,1
16-TH,C96,14
16-TH,D00,48
16-TH,D01,391
16-TH,D02,32
16-TH,D03,1128
16-TH,D05,797
16-TH,D06,1833
16-TH,D07,144
16-TH,D09,2086
16-TH,D32,430
16-TH,D33,186
16-TH,D35,165
16-TH,D39,160
16-TH,D41,17
16-TH,D42,64
16-TH,D43,62
16-TH,D44,12
16-TH,D46,12
16-TH,D47,6
