class,source,cnt
ann_arbor,diag,53572
ann_arbor,fol,1070
bclc,diag,2503
bclc,fol,55
binet,diag,10303
binet,fol,503
brain,diag,36200
brain,fol,1371
breslow,diag,17391
breslow,fol,366
clark,diag,33852
clark,fol,910
dukes,diag,690
dukes,fol,16
ebv,diag,50
ebv,fol,10
eln,diag,1910
eln,fol,23
er,diag,564
er,fol,27
figo,diag,39792
figo,fol,1869
gist,diag,2889
gist,fol,264
gleason,diag,40124
gleason,fol,11739
gshg,diag,808
gshg,fol,11
her2,diag,9369
her2,fol,7753
hormone_receptor,diag,3930
hormone_receptor,fol,14007
hpv,diag,38387
hpv,fol,2585
imdc,diag,38
imdc,fol,1
ipi,diag,7246
ipi,fol,106
ipss,diag,3912
ipss,fol,132
iss,diag,8464
iss,fol,144
isswm,diag,380
isswm,fol,8
isup,diag,8634
isup,fol,1051
ki67,diag,44291
ki67,fol,7843
lauren,diag,2159
lauren,fol,57
mskcc,diag,10
pr,diag,190
psa,diag,76664
psa,fol,68472
ruptur,diag,79
ruptur,fol,1
sanz,diag,55
sanz,fol,1
siewert,diag,2172
siewert,fol,10
tnm,diag,314
tnm,fol,222
uicc,diag,126288
uicc,fol,2796
who,diag,13296
who,fol,682
