tu_1d,cnt
#,18
0,2
1,1
2,1
3,1
4,4
5,2
7,1
8,1
A,27378
B,4293
C,824756
D,36303
E,35213
F,21225
G,16600
H,327
I,195324
J,98243
K,52274
L,1912
M,4395
N,41857
O,64
P,172
Q,380
R,92303
S,6716
T,6343
U,12025
V,143
W,2300
X,1283
Y,2720
Z,10879
