z_kkr_label,cnt
01-SH,13936
02-HH,6807
03-NI,34580
04-HB,2365
05-NW,79618
06-HE,25276
07-RP,20033
08-BW,52990
09-BY,61035
10-SL,4976
11-BE,13365
12-BB,12626
13-MV,8849
14-SN,21803
15-ST,10717
16-TH,10378
