z_kkr_label,label,cnt
01-SH,A -  adjuvant,19278
01-SH,I -  intraoperativ,327
01-SH,N -  neoadjuvant,6212
01-SH,O -  ohne Bezug zu einer operativen Therapie,29327
01-SH,S -  Sonstiges,9714
02-HH,A -  adjuvant,8594
02-HH,I -  intraoperativ,111
02-HH,N -  neoadjuvant,3301
02-HH,O -  ohne Bezug zu einer operativen Therapie,26292
02-HH,S -  Sonstiges,158
03-NI,A -  adjuvant,39195
03-NI,I -  intraoperativ,235
03-NI,N -  neoadjuvant,17879
03-NI,O -  ohne Bezug zu einer operativen Therapie,88041
03-NI,S -  Sonstiges,9258
04-HB,A -  adjuvant,3649
04-HB,I -  intraoperativ,8
04-HB,N -  neoadjuvant,1473
04-HB,O -  ohne Bezug zu einer operativen Therapie,8434
04-HB,S -  Sonstiges,604
05-NW,A -  adjuvant,67645
05-NW,I -  intraoperativ,608
05-NW,N -  neoadjuvant,37875
05-NW,O -  ohne Bezug zu einer operativen Therapie,161511
05-NW,S -  Sonstiges,28279
06-HE,A -  adjuvant,28053
06-HE,I -  intraoperativ,140
06-HE,N -  neoadjuvant,11743
06-HE,O -  ohne Bezug zu einer operativen Therapie,50581
06-HE,S -  Sonstiges,6115
07-RP,A -  adjuvant,16073
07-RP,I -  intraoperativ,345
07-RP,N -  neoadjuvant,4887
07-RP,O -  ohne Bezug zu einer operativen Therapie,22217
07-RP,S -  Sonstiges,3263
08-BW,A -  adjuvant,60708
08-BW,I -  intraoperativ,934
08-BW,N -  neoadjuvant,21412
08-BW,O -  ohne Bezug zu einer operativen Therapie,130410
08-BW,S -  Sonstiges,26754
09-BY,A -  adjuvant,53368
09-BY,I -  intraoperativ,1482
09-BY,N -  neoadjuvant,28622
09-BY,O -  ohne Bezug zu einer operativen Therapie,124691
09-BY,S -  Sonstiges,13740
10-SL,A -  adjuvant,6694
10-SL,I -  intraoperativ,21
10-SL,N -  neoadjuvant,2500
10-SL,O -  ohne Bezug zu einer operativen Therapie,13146
10-SL,S -  Sonstiges,1349
11-BE,A -  adjuvant,14718
11-BE,I -  intraoperativ,434
11-BE,N -  neoadjuvant,9105
11-BE,O -  ohne Bezug zu einer operativen Therapie,40049
11-BE,S -  Sonstiges,468
12-BB,A -  adjuvant,15230
12-BB,I -  intraoperativ,487
12-BB,N -  neoadjuvant,7778
12-BB,O -  ohne Bezug zu einer operativen Therapie,37410
12-BB,S -  Sonstiges,784
13-MV,A -  adjuvant,13918
13-MV,I -  intraoperativ,253
13-MV,N -  neoadjuvant,5699
13-MV,O -  ohne Bezug zu einer operativen Therapie,31280
13-MV,S -  Sonstiges,1820
14-SN,A -  adjuvant,28119
14-SN,I -  intraoperativ,1081
14-SN,N -  neoadjuvant,13866
14-SN,O -  ohne Bezug zu einer operativen Therapie,73582
14-SN,S -  Sonstiges,1994
15-ST,A -  adjuvant,15399
15-ST,I -  intraoperativ,917
15-ST,N -  neoadjuvant,7676
15-ST,O -  ohne Bezug zu einer operativen Therapie,35249
15-ST,S -  Sonstiges,669
16-TH,A -  adjuvant,12564
16-TH,I -  intraoperativ,258
16-TH,N -  neoadjuvant,5963
16-TH,O -  ohne Bezug zu einer operativen Therapie,28870
16-TH,S -  Sonstiges,415
