SJ,tu_type,cnt
2020,c_and_other,20749
2020,c_only,50130
2020,other_only,11319
2021,c_and_other,34707
2021,c_only,81380
2021,other_only,22279
2022,c_and_other,43991
2022,c_only,100171
2022,other_only,33071
2023,c_and_other,46988
2023,c_only,107345
2023,other_only,39676
2024,c_and_other,39908
2024,c_only,91622
2024,other_only,37663
