class,z_dy,cnt
ann_arbor,(<2020),4958
ann_arbor,2020,11062
ann_arbor,2021,10623
ann_arbor,2022,9789
ann_arbor,2023,9522
ann_arbor,2024,7675
ann_arbor,2025,46
bclc,(<2020),38
bclc,2020,507
bclc,2021,495
bclc,2022,494
bclc,2023,507
bclc,2024,480
binet,(<2020),2182
binet,2020,2057
binet,2021,1804
binet,2022,1749
binet,2023,1580
binet,2024,1249
binet,2025,10
brain,(<2020),1087
brain,2020,7366
brain,2021,7261
brain,2022,7510
brain,2023,7522
brain,2024,6725
brain,2025,36
breslow,(<2020),2590
breslow,2020,4586
breslow,2021,2809
breslow,2022,2677
breslow,2023,2382
breslow,2024,2484
breslow,2025,67
clark,(<2020),6836
clark,2020,8863
clark,2021,5478
clark,2022,5357
clark,2023,4108
clark,2024,3778
clark,2025,54
dukes,(<2020),478
dukes,2020,28
dukes,2021,29
dukes,2022,2
dukes,2023,14
dukes,2024,154
ebv,2020,11
ebv,2021,18
ebv,2022,16
ebv,2023,4
ebv,2024,10
ebv,2025,1
eln,(<2020),4
eln,2020,187
eln,2021,308
eln,2022,374
eln,2023,502
eln,2024,532
eln,2025,10
er,2020,97
er,2021,88
er,2022,117
er,2023,97
er,2024,192
figo,(<2020),1311
figo,2020,8479
figo,2021,8843
figo,2022,8413
figo,2023,7705
figo,2024,6274
figo,2025,32
gist,(<2020),150
gist,2020,483
gist,2021,553
gist,2022,657
gist,2023,593
gist,2024,683
gist,2025,14
gleason,(<2020),14520
gleason,2020,7569
gleason,2021,7802
gleason,2022,7270
gleason,2023,6454
gleason,2024,6359
gleason,2025,93
gshg,(<2020),21
gshg,2020,133
gshg,2021,153
gshg,2022,150
gshg,2023,180
gshg,2024,176
her2,(<2020),18
her2,2020,2573
her2,2021,3116
her2,2022,3699
her2,2023,3881
her2,2024,2629
hormone_receptor,2020,3712
hormone_receptor,2021,3884
hormone_receptor,2022,4069
hormone_receptor,2023,3555
hormone_receptor,2024,2716
hormone_receptor,2025,1
hpv,(<2020),967
hpv,2020,5721
hpv,2021,7099
hpv,2022,9371
hpv,2023,9485
hpv,2024,7468
hpv,2025,37
imdc,2020,3
imdc,2021,13
imdc,2022,8
imdc,2023,7
imdc,2024,8
ipi,(<2020),325
ipi,2020,1459
ipi,2021,1418
ipi,2022,1379
ipi,2023,1368
ipi,2024,1333
ipi,2025,13
ipss,(<2020),198
ipss,2020,808
ipss,2021,863
ipss,2022,831
ipss,2023,704
ipss,2024,598
ipss,2025,7
iss,(<2020),278
iss,2020,1574
iss,2021,1776
iss,2022,1700
iss,2023,1754
iss,2024,1397
iss,2025,15
isswm,(<2020),10
isswm,2020,59
isswm,2021,89
isswm,2022,88
isswm,2023,88
isswm,2024,51
isup,(<2020),206
isup,2020,1445
isup,2021,1600
isup,2022,1845
isup,2023,2186
isup,2024,1964
isup,2025,7
ki67,(<2020),29
ki67,2020,2046
ki67,2021,2918
ki67,2022,7662
ki67,2023,13455
ki67,2024,14260
ki67,2025,17
lauren,(<2020),232
lauren,2020,666
lauren,2021,458
lauren,2022,432
lauren,2023,290
lauren,2024,134
lauren,2025,3
mskcc,2020,2
mskcc,2021,5
mskcc,2022,2
mskcc,2023,1
pr,2020,2
pr,2021,2
pr,2022,10
pr,2023,17
pr,2024,159
psa,(<2020),3
psa,2020,30471
psa,2021,32406
psa,2022,31265
psa,2023,28784
psa,2024,22207
ruptur,2020,1
ruptur,2021,2
ruptur,2022,1
ruptur,2023,8
ruptur,2024,68
sanz,(<2020),2
sanz,2020,9
sanz,2021,12
sanz,2022,11
sanz,2023,12
sanz,2024,8
siewert,(<2020),31
siewert,2020,414
siewert,2021,405
siewert,2022,427
siewert,2023,487
siewert,2024,409
siewert,2025,3
tnm,(<2020),59
tnm,2020,213
tnm,2021,215
tnm,2022,42
tnm,2023,6
tnm,2024,1
uicc,(<2020),4968
uicc,2020,28506
uicc,2021,31016
uicc,2022,30114
uicc,2023,26963
uicc,2024,7265
uicc,2025,7
who,(<2020),720
who,2020,3179
who,2021,2956
who,2022,2207
who,2023,2292
who,2024,2031
