z_kkr_label,cnt
01-SH,109468
02-HH,77686
03-NI,251611
04-HB,23630
05-NW,582545
06-HE,173836
07-RP,46392
08-BW,460246
09-BY,395241
10-SL,41490
11-BE,122683
12-BB,109975
13-MV,54318
14-SN,206291
15-ST,107316
16-TH,79594
