z_kkr_label,cnt
01-SH,536
02-HH,290
03-NI,278
04-HB,97
05-NW,3285
06-HE,1056
07-RP,145
08-BW,2465
09-BY,1684
10-SL,192
11-BE,127
12-BB,97
13-MV,126
14-SN,338
15-ST,87
16-TH,52
