tum_per_pat,op_per_tum,ops_per_tum,st_per_tum,syst_per_tum,folge_per_tum
1.0505451568635982,0.6757370766891027,1.3674090135670296,0.15547123217539263,0.39564981704838054,1.098016518347864
1.0561564676248334,0.8406285072951739,1.3892318244170097,0.23160618530988902,0.5390322982915575,1.2946283825913456
1.057733570377636,0.796580453524596,1.5730058682895023,0.25351010649858724,0.5752372672607404,1.8675070636818083
1.060071847178742,0.5890918175819811,1.2464398506114553,0.19161707334260072,0.39896094245466135,1.1706309295785475
1.0616663517853768,0.8381915032447118,1.5975608309309417,0.25110628655491096,0.509698544328576,0.8149387241817039
1.0643994434997681,0.8226346772007281,1.7420316796406026,0.21620967429611557,0.4244800743580806,0.6869989543394911
1.0653204921379562,0.737389575024658,1.386307839101162,0.23239364895578712,0.43299991423302886,0.6267287405120289
1.0668189416885976,0.9579234803115401,1.5492056350265306,0.2759254662239737,0.6331104353492413,1.2232832717907345
1.070937093652583,0.6906794765439108,1.340357394269978,0.22747769242753862,0.4625324957644366,1.0766626778549166
1.0713926798384017,0.7051120907982366,1.310439921208142,0.25733045680517774,0.49254291342275586,0.1930588124941375
1.0745484400656815,0.5111858190709047,0.9846271393643031,0.23307864710676446,0.4702526487367563,0.07581499592502038
1.0757362930895527,0.8723563661272369,1.383144961041185,0.2477951879441733,0.5561049747409881,2.076419213973799
1.0791927412278588,0.49345526348707136,1.0000714783509945,0.20848448026304034,0.5265854791729955,0.09797448222869498
1.0842952081147255,0.5608064516129032,1.227956989247312,0.2424193548387097,0.49736559139784947,0.10575268817204302
1.0907845375958245,0.5148334230516179,0.9990729110592739,0.22937974759255936,0.5108559124349542,0.11265625934565464
1.0915351823230695,0.6245283459237418,1.1776531271151498,0.46613815477255577,0.27192948333942757,2.0244443234243836
1.1101242990378855,0.6854794714446217,1.3962838345920092,0.23640792302270924,0.53013597237499,2.1467563909375342
