Vitalstatus_YY,Vitalstatus_MM,z_kkr_label,cnt
2021,M04,15-ST,730
2021,M04,16-TH,527
2021,M05,01-SH,8
2021,M05,02-HH,14
2021,M05,03-NI,5
2021,M05,04-HB,7
2021,M05,06-HE,1486
2021,M05,08-BW,50
2021,M05,09-BY,3798
2021,M05,10-SL,485
2021,M05,11-BE,930
2021,M05,12-BB,717
2021,M05,13-MV,31
2021,M05,14-SN,67
2021,M05,15-ST,564
2021,M05,16-TH,475
2021,M06,01-SH,22
2021,M06,02-HH,9
2021,M06,03-NI,6
2021,M06,04-HB,1
2021,M06,06-HE,1601
2021,M06,08-BW,56
2021,M06,09-BY,4349
2021,M06,10-SL,471
2021,M06,11-BE,989
2021,M06,12-BB,798
2021,M06,13-MV,38
2021,M06,14-SN,74
2021,M06,15-ST,752
2021,M06,16-TH,621
2021,M07,01-SH,23
2021,M07,02-HH,13
2021,M07,03-NI,5
2021,M07,04-HB,8
2021,M07,06-HE,1773
2021,M07,08-BW,76
2021,M07,09-BY,4671
2021,M07,10-SL,539
2021,M07,11-BE,948
2021,M07,12-BB,714
2021,M07,13-MV,27
2021,M07,14-SN,98
2021,M07,15-ST,713
2021,M07,16-TH,607
2021,M08,01-SH,30
2021,M08,02-HH,13
2021,M08,03-NI,1
2021,M08,04-HB,12
2021,M08,06-HE,1614
2021,M08,08-BW,76
2021,M08,09-BY,4202
2021,M08,10-SL,500
2021,M08,11-BE,951
2021,M08,12-BB,759
2021,M08,13-MV,44
2021,M08,14-SN,83
2021,M08,15-ST,634
2021,M08,16-TH,594
2021,M09,01-SH,13
2021,M09,02-HH,18
2021,M09,03-NI,6
2021,M09,04-HB,12
2021,M09,06-HE,1743
2021,M09,08-BW,74
2021,M09,09-BY,4375
2021,M09,10-SL,555
2021,M09,11-BE,963
2021,M09,12-BB,815
2021,M09,13-MV,47
2021,M09,14-SN,91
2021,M09,15-ST,743
2021,M09,16-TH,638
2021,M10,01-SH,16
2021,M10,02-HH,22
2021,M10,03-NI,4
2021,M10,04-HB,10
2021,M10,06-HE,1697
2021,M10,08-BW,59
2021,M10,09-BY,4458
2021,M10,10-SL,568
2021,M10,11-BE,966
2021,M10,12-BB,759
2021,M10,13-MV,40
2021,M10,14-SN,74
2021,M10,15-ST,682
2021,M10,16-TH,675
2021,M11,01-SH,33
2021,M11,02-HH,17
2021,M11,03-NI,4
2021,M11,04-HB,9
2021,M11,06-HE,1856
2021,M11,08-BW,54
2021,M11,09-BY,4599
2021,M11,10-SL,579
2021,M11,11-BE,1090
2021,M11,12-BB,860
2021,M11,13-MV,50
2021,M11,14-SN,98
2021,M11,15-ST,756
2021,M11,16-TH,660
2021,M12,01-SH,31
2021,M12,02-HH,16
2021,M12,03-NI,6
2021,M12,04-HB,6
2021,M12,06-HE,1706
2021,M12,08-BW,73
2021,M12,09-BY,4735
2021,M12,10-SL,602
2021,M12,11-BE,1016
2021,M12,12-BB,782
2021,M12,13-MV,24
2021,M12,14-SN,70
2021,M12,15-ST,580
2021,M12,16-TH,557
2022,M01,01-SH,19
2022,M01,02-HH,21
2022,M01,03-NI,1
2022,M01,04-HB,10
2022,M01,06-HE,1894
2022,M01,08-BW,61
2022,M01,09-BY,4541
2022,M01,10-SL,717
2022,M01,11-BE,1059
2022,M01,12-BB,830
2022,M01,13-MV,49
2022,M01,14-SN,88
2022,M01,15-ST,834
2022,M01,16-TH,765
2022,M02,01-SH,16
2022,M02,02-HH,20
2022,M02,03-NI,3
2022,M02,04-HB,6
2022,M02,06-HE,2049
2022,M02,08-BW,66
2022,M02,09-BY,5250
2022,M02,10-SL,563
2022,M02,11-BE,1100
2022,M02,12-BB,817
2022,M02,13-MV,296
2022,M02,14-SN,88
2022,M02,15-ST,778
2022,M02,16-TH,773
2022,M03,01-SH,24
2022,M03,02-HH,18
2022,M03,03-NI,3
2022,M03,04-HB,8
2022,M03,06-HE,2285
2022,M03,08-BW,67
2022,M03,09-BY,5835
2022,M03,10-SL,712
2022,M03,11-BE,1331
2022,M03,12-BB,1011
2022,M03,13-MV,55
2022,M03,14-SN,115
2022,M03,15-ST,944
2022,M03,16-TH,804
2022,M04,01-SH,34
2022,M04,02-HH,24
2022,M04,03-NI,5
2022,M04,04-HB,8
2022,M04,06-HE,1910
2022,M04,08-BW,65
2022,M04,09-BY,4992
2022,M04,10-SL,551
2022,M04,11-BE,1105
2022,M04,12-BB,866
2022,M04,13-MV,47
2022,M04,14-SN,87
2022,M04,15-ST,812
2022,M04,16-TH,745
2022,M05,01-SH,27
2022,M05,02-HH,27
2022,M05,03-NI,7
2022,M05,04-HB,10
2022,M05,06-HE,2064
2022,M05,08-BW,87
2022,M05,09-BY,5489
2022,M05,10-SL,685
2022,M05,11-BE,1223
2022,M05,12-BB,945
2022,M05,13-MV,43
2022,M05,14-SN,101
2022,M05,15-ST,871
2022,M05,16-TH,886
2022,M06,01-SH,26
2022,M06,02-HH,29
2022,M06,03-NI,2
2022,M06,04-HB,13
2022,M06,06-HE,2006
2022,M06,08-BW,84
2022,M06,09-BY,5115
2022,M06,10-SL,607
2022,M06,11-BE,1260
2022,M06,12-BB,969
2022,M06,13-MV,1088
2022,M06,14-SN,105
2022,M06,15-ST,975
2022,M06,16-TH,867
2022,M07,01-SH,33
2022,M07,02-HH,26
2022,M07,03-NI,3
2022,M07,04-HB,14
2022,M07,06-HE,2017
2022,M07,08-BW,87
2022,M07,09-BY,5287
2022,M07,10-SL,695
2022,M07,11-BE,1165
2022,M07,12-BB,814
2022,M07,13-MV,95
2022,M07,14-SN,79
2022,M07,15-ST,883
2022,M07,16-TH,860
2022,M08,01-SH,34
2022,M08,02-HH,29
2022,M08,03-NI,3
2022,M08,04-HB,18
2022,M08,06-HE,1962
2022,M08,08-BW,110
2022,M08,09-BY,5120
2022,M08,10-SL,676
2022,M08,11-BE,1174
2022,M08,12-BB,944
2022,M08,13-MV,107
2022,M08,14-SN,107
2022,M08,15-ST,946
2022,M08,16-TH,823
2022,M09,01-SH,46
2022,M09,02-HH,36
2022,M09,03-NI,3
2022,M09,04-HB,12
2022,M09,06-HE,2208
2022,M09,08-BW,81
2022,M09,09-BY,5143
2022,M09,10-SL,757
2022,M09,11-BE,1315
2022,M09,12-BB,1004
2022,M09,13-MV,187
2022,M09,14-SN,117
2022,M09,15-ST,1041
2022,M09,16-TH,826
2022,M10,01-SH,28
2022,M10,02-HH,30
2022,M10,03-NI,7
2022,M10,04-HB,8
2022,M10,06-HE,1941
2022,M10,08-BW,118
2022,M10,09-BY,5033
2022,M10,10-SL,730
2022,M10,11-BE,1261
2022,M10,12-BB,774
2022,M10,13-MV,121
2022,M10,14-SN,93
2022,M10,15-ST,949
2022,M10,16-TH,781
2022,M11,01-SH,35
2022,M11,02-HH,23
2022,M11,03-NI,3
2022,M11,04-HB,11
2022,M11,06-HE,2125
2022,M11,08-BW,99
2022,M11,09-BY,5289
2022,M11,10-SL,730
2022,M11,11-BE,1417
2022,M11,12-BB,1065
2022,M11,13-MV,158
2022,M11,14-SN,129
2022,M11,15-ST,1259
2022,M11,16-TH,996
2022,M12,01-SH,32
2022,M12,02-HH,36
2022,M12,03-NI,6
2022,M12,04-HB,12
2022,M12,06-HE,1783
2022,M12,08-BW,94
2022,M12,09-BY,4910
2022,M12,10-SL,730
2022,M12,11-BE,1153
2022,M12,12-BB,851
2022,M12,13-MV,244
2022,M12,14-SN,84
2022,M12,15-ST,905
2022,M12,16-TH,793
2023,M01,01-SH,38
2023,M01,02-HH,28
2023,M01,03-NI,6
2023,M01,04-HB,17
2023,M01,06-HE,2335
2023,M01,08-BW,88
2023,M01,09-BY,5373
2023,M01,10-SL,780
