z_kkr_label,cnt
01-SH,82950
02-HH,44735
03-NI,193993
04-HB,16374
05-NW,450472
06-HE,135420
07-RP,100823
08-BW,269494
09-BY,312865
10-SL,29265
11-BE,84560
12-BB,70936
13-MV,39093
14-SN,115885
15-ST,62808
16-TH,55039
