z_kkr_label,cnt
01-SH,12886
02-HH,7243
03-NI,33494
04-HB,2645
05-NW,68643
06-HE,23041
07-RP,16398
08-BW,45897
09-BY,48450
10-SL,3969
11-BE,13536
12-BB,10024
13-MV,5673
14-SN,15023
15-ST,8226
16-TH,7752
