z_kkr_label,cnt
01-SH,7204
02-HH,3246
03-NI,18306
04-HB,1364
05-NW,39305
06-HE,12601
07-RP,9198
08-BW,24731
09-BY,27901
10-SL,2319
11-BE,6860
12-BB,6322
13-MV,4079
14-SN,10524
15-ST,6029
16-TH,5183
