z_kkr_label;cnt
01-SH;32389
02-HH;18942
03-NI;70491
04-HB;6852
05-NW;174220
06-HE;51866
07-RP;35274
08-BW;111195
09-BY;111333
10-SL;10852
11-BE;36479
12-BB;32212
13-MV;22232
14-SN;55431
15-ST;26661
16-TH;21255
