z_kkr_label;cnt
01-SH;1007
02-HH;457
03-NI;2312
04-HB;204
05-NW;4744
06-HE;1660
07-RP;1135
08-BW;3171
09-BY;3524
10-SL;345
11-BE;924
12-BB;822
13-MV;566
14-SN;1439
15-ST;795
16-TH;625
