z_kkr_label;cnt
01-SH;4622
02-HH;2150
03-NI;9620
04-HB;567
05-NW;21482
06-HE;8335
07-RP;5738
08-BW;17518
09-BY;16442
10-SL;1115
11-BE;3234
12-BB;2665
13-MV;1959
14-SN;5280
15-ST;2465
16-TH;1721
