z_kkr_label;cnt
01-SH;39932
02-HH;22092
03-NI;93696
04-HB;8332
05-NW;211724
06-HE;69221
08-BW;128992
09-BY;146263
10-SL;14084
11-BE;41607
12-BB;35628
13-MV;24182
14-SN;59061
15-ST;31709
16-TH;23002
