z_kkr_label,cnt
02-HH,1081
05-NW,10579
06-HE,3480
07-RP,2702
08-BW,6943
09-BY,8113
11-BE,2429
12-BB,2231
13-MV,1548
14-SN,4061
15-ST,2079
16-TH,1615
