z_kkr_label;cnt
02-HH;2381
05-NW;21502
06-HE;7157
07-RP;5174
08-BW;15001
09-BY;15402
11-BE;4796
12-BB;3910
13-MV;2532
14-SN;5950
15-ST;3146
16-TH;2510
