z_kkr_label,cnt
01-SH,1148
02-HH,560
03-NI,2636
04-HB,176
05-NW,5486
06-HE,2020
07-RP,1298
08-BW,4163
09-BY,4047
10-SL,352
11-BE,1220
12-BB,1011
13-MV,718
14-SN,1493
15-ST,834
16-TH,491
