z_kkr_label;cnt
01-SH;5734
02-HH;3418
03-NI;13669
04-HB;1244
05-NW;29716
06-HE;10083
07-RP;6744
08-BW;20368
09-BY;20711
10-SL;1910
11-BE;6855
12-BB;5209
13-MV;3202
14-SN;7861
15-ST;3939
16-TH;3169
