z_kkr_label,cnt
01-SH,6317
02-HH,2891
03-NI,16015
04-HB,1193
05-NW,34648
06-HE,11124
07-RP,7883
08-BW,21908
09-BY,24224
10-SL,2056
11-BE,5965
12-BB,5505
13-MV,3539
14-SN,9311
15-ST,5540
16-TH,3805
