z_kkr_label,cnt
01-SH,636
02-HH,443
03-NI,1425
04-HB,139
05-NW,3277
06-HE,1088
07-RP,782
08-BW,2282
09-BY,2522
10-SL,176
11-BE,704
12-BB,449
13-MV,236
14-SN,885
15-ST,359
16-TH,254
